Team,Less than 8ft. usage %,8-16 feet usage %,16-24 feet usage %,24+ feet usage %,Back Court Shots usage %,Avg. Shot Dis.(ft.),Opp. Avg. Shot Dis.(ft.),Avg. Made Shot Dis.(ft.),Opp. Made Avg. Shot Dis.(ft.),Avg. Missed Shot Dis.(ft.),Opp. Missed Avg. Shot Dis.(ft.),Season,Season Type,Match Count
Atlanta Hawks,43.55,11.46,4.8,39.91,0.28,13.06,13.34,10.34,10.75,15.29,15.68,2018-2019,REG,81
Brooklyn Nets,43.45,11.46,4.89,39.96,0.24,13.18,12.89,10.7,10.45,15.2,14.94,2018-2019,REG,82
Boston Celtics,36.19,14.82,10.9,38,0.09,14,13.49,11.64,10.85,16.06,15.63,2018-2019,REG,82
Charlotte Hornets,41.86,11.99,8.39,37.25,0.5,13.4,13.2,10.96,10.56,15.38,15.54,2018-2019,REG,82
Chicago Bulls,46.23,14.31,10.05,29.22,0.19,11.9,13.19,9.58,10.59,13.82,15.52,2018-2019,REG,82
Cleveland Cavaliers,40.56,15.78,10.45,33.04,0.17,12.94,13.21,10.78,10.63,14.66,15.75,2018-2019,REG,82
Dallas Mavericks,38.95,12.46,6.64,41.54,0.41,13.99,13.34,10.99,10.59,16.4,15.67,2018-2019,REG,81
Denver Nuggets,44.62,13.5,7.15,34.48,0.25,12.56,12.74,10.07,9.95,14.74,15.12,2018-2019,REG,81
Detroit Pistons,42.79,10.51,7.33,38.94,0.43,13.49,12.61,11.01,9.95,15.46,14.97,2018-2019,REG,81
Golden State Warriors,32.99,14.86,13.8,38.09,0.26,14.76,13.7,12.35,11.18,17.08,15.7,2018-2019,REG,82
Houston Rockets,38.48,7.12,2.53,51.74,0.14,15.11,12.53,12.31,9.67,17.39,15.02,2018-2019,REG,82
Indiana Pacers,43.81,11.84,15.23,28.95,0.17,12.44,13.34,10.25,10.81,14.43,15.42,2018-2019,REG,82
Los Angeles Clippers,45.64,15.08,9.94,29.11,0.23,11.95,12.66,10.03,10.11,13.65,14.81,2018-2019,REG,81
Los Angeles Lakers,47.38,10.44,8.03,33.99,0.16,12.19,12.92,9.26,10.47,14.79,14.95,2018-2019,REG,81
Memphis Grizzlies,41.71,14.57,9.52,33.97,0.23,12.81,13.34,10.34,10.87,14.83,15.37,2018-2019,REG,82
Miami Heat,42.68,14.1,6.46,36.48,0.28,12.8,13.55,10.21,11.48,14.93,15.18,2018-2019,REG,82
Milwaukee Bucks,43.76,9.01,5.33,41.76,0.15,13.41,14.34,10.26,12.34,16.28,15.87,2018-2019,REG,82
Minnesota Timberwolves,42.77,13.63,12.18,31.19,0.23,12.61,12.91,10.2,10.57,14.63,14.95,2018-2019,REG,81
New Orleans Pelicans,46.56,14.3,6.95,32.01,0.17,11.94,12.95,9.22,10.44,14.39,15.15,2018-2019,REG,81
New York Knicks,40.89,13.51,12.25,33.21,0.14,12.99,12.77,10.63,10.14,14.79,15.08,2018-2019,REG,82
Oklahoma City Thunder,43.63,13.66,8.03,34.39,0.29,12.43,12.62,9.84,10.1,14.57,14.76,2018-2019,REG,82
Orlando Magic,37.51,13.62,12.86,35.69,0.31,13.9,13.14,11.41,10.69,15.97,15.19,2018-2019,REG,82
Philadelphia 76ers,41.32,14.35,10.2,33.94,0.19,13.01,12.75,10.37,10.19,15.37,14.89,2018-2019,REG,82
Phoenix Suns,41.86,15.41,9.27,33.25,0.21,12.61,12.19,9.83,9.73,14.96,14.47,2018-2019,REG,82
Portland Trailblazers,43.33,11.93,10.85,33.78,0.11,12.7,12.82,10.44,10.49,14.69,14.77,2018-2019,REG,82
Sacramento Kings,42.75,14.65,10.41,31.96,0.23,12.59,13.08,10.44,10.23,14.44,15.58,2018-2019,REG,81
San Antonio Spurs,34.56,20.45,16.43,28.34,0.22,13.39,13.53,11.54,11.21,15.09,15.54,2018-2019,REG,82
Toronto Raptors,41.74,12.06,8.31,37.67,0.22,13.26,12.82,10.79,10.4,15.49,14.79,2018-2019,REG,82
Utah Jazz,43.79,10.42,6.37,39.14,0.28,12.98,12.62,10.21,10.57,15.42,14.3,2018-2019,REG,82
Washington Wizards,41.52,11.53,9.96,36.8,0.19,13.29,13,10.27,10.37,15.94,15.42,2018-2019,REG,81
Atlanta Hawks,38.29,13.26,12.27,35.81,0.37,13.57,13.67,11.33,11.46,15.39,15.62,2017-2018,REG,82
Brooklyn Nets,40.47,12.26,6.23,40.82,0.22,13.7,12.59,11.24,10.71,15.64,14.22,2017-2018,REG,82
Boston Celtics,38.06,14.24,12.01,35.4,0.29,13.68,13.07,11.82,10.39,15.2,15.17,2017-2018,REG,82
Charlotte Hornets,38.98,15.75,13.85,31.08,0.34,13.16,13.68,10.93,11.31,14.99,15.76,2017-2018,REG,82
Chicago Bulls,38.47,13.07,13.48,34.73,0.25,13.62,13.72,11.44,11.11,15.3,16.05,2017-2018,REG,82
Cleveland Cavaliers,38.14,12.01,12.01,37.64,0.2,13.81,13.43,11.03,10.83,16.33,15.77,2017-2018,REG,82
Dallas Mavericks,34.69,13.44,13.71,37.87,0.3,14.41,13.79,12.04,11.34,16.31,15.95,2017-2018,REG,82
Denver Nuggets,44.56,12.35,7.44,35.28,0.38,12.8,12.8,10.44,10.65,14.89,14.75,2017-2018,REG,82
Detroit Pistons,40.13,15.02,11.63,32.93,0.29,13.14,13.58,11.13,11.1,14.79,15.69,2017-2018,REG,82
Golden State Warriors,34.65,17.14,14.46,33.36,0.39,13.95,12.95,11.62,10.58,16.29,14.86,2017-2018,REG,82
Houston Rockets,37.34,8.04,4.39,49.94,0.29,15.05,12.81,12.15,10.03,17.51,15.2,2017-2018,REG,82
Indiana Pacers,39.93,12.61,19.1,28.06,0.3,13.03,13.64,10.87,10.82,14.96,16.08,2017-2018,REG,82
Los Angeles Clippers,47.75,11.79,9.11,31.12,0.23,11.82,13.37,9.25,10.95,14.11,15.42,2017-2018,REG,82
Los Angeles Lakers,45.72,11.83,9.51,32.66,0.28,12.42,12.91,9.62,10.34,14.8,15.08,2017-2018,REG,82
Memphis Grizzlies,41.69,13.45,13.19,31.28,0.4,12.79,13.29,10.44,10.78,14.67,15.46,2017-2018,REG,82
Miami Heat,40.81,12.95,10.43,35.52,0.29,13.21,12.67,10.68,10.63,15.33,14.34,2017-2018,REG,82
Milwaukee Bucks,42.36,15.21,12.75,29.47,0.21,12.39,12.51,9.87,10.02,14.7,14.71,2017-2018,REG,82
Minnesota Timberwolves,41.77,17.13,15.02,25.89,0.18,12.29,13.13,9.94,10.52,14.44,15.49,2017-2018,REG,82
New Orleans Pelicans,43.28,13.96,10.95,31.6,0.21,12.51,13.23,9.96,10.79,14.9,15.25,2017-2018,REG,82
New York Knicks,39.18,18.32,15.88,26.3,0.32,12.67,13.33,10.37,11.14,14.66,15.17,2017-2018,REG,82
Oklahoma City Thunder,38.66,13.05,13.85,34.13,0.32,13.25,13.08,10.64,10.66,15.42,15.14,2017-2018,REG,82
Orlando Magic,39.69,14.98,11.26,33.88,0.18,13.3,12.77,10.78,10.33,15.39,14.91,2017-2018,REG,82
Philadelphia 76ers,40.3,14.55,10.72,34.15,0.28,13.34,13.65,10.81,11.3,15.6,15.45,2017-2018,REG,82
Phoenix Suns,42.03,15.31,10.63,31.79,0.24,12.48,12.96,9.87,10.64,14.54,15.03,2017-2018,REG,82
Portland Trailblazers,40.36,14.5,12.7,32.37,0.06,13.02,12.94,11.11,11.16,14.58,14.37,2017-2018,REG,82
Sacramento Kings,39.32,16.92,16.02,27.34,0.4,12.87,13.79,10.99,11.39,14.41,15.91,2017-2018,REG,82
San Antonio Spurs,38.47,18.93,14.4,27.92,0.27,12.71,12.83,10.44,10.56,14.63,14.71,2017-2018,REG,82
Toronto Raptors,42.18,12.65,7.5,37.33,0.33,13.19,12.24,10.53,10.21,15.57,13.9,2017-2018,REG,82
Utah Jazz,40.13,13.42,10.8,35.43,0.22,13.24,13.1,10.86,11.02,15.29,14.8,2017-2018,REG,82
Washington Wizards,35.51,18.63,14.95,30.67,0.24,13.45,13.34,11.34,10.53,15.3,15.75,2017-2018,REG,82
Atlanta Hawks,41.79,12.24,15.13,30.61,0.23,12.51,13.71,10.18,11.71,14.42,15.3,2016-2017,REG,82
Brooklyn Nets,44.64,11.31,6.97,36.75,0.33,12.74,12.83,10.19,10.83,14.77,14.52,2016-2017,REG,82
Boston Celtics,40.01,9.61,11.11,38.92,0.34,13.78,13.03,11.28,10.53,15.86,15.07,2016-2017,REG,82
Charlotte Hornets,37.87,13.45,15.18,33.27,0.24,13.41,13.64,11.09,11.48,15.25,15.45,2016-2017,REG,82
Chicago Bulls,41.01,15.48,17.9,25.46,0.15,12.36,12.4,10.19,10.2,14.08,14.24,2016-2017,REG,82
Cleveland Cavaliers,36.98,11.7,11.46,39.71,0.16,13.98,12.87,11.69,10.6,16.02,14.79,2016-2017,REG,82
Dallas Mavericks,30.06,14.36,18.95,36.33,0.3,14.89,13.22,12.68,10.94,16.62,15.24,2016-2017,REG,82
Denver Nuggets,46.16,10.16,10.76,32.63,0.29,12.32,12.74,9.98,10.55,14.4,14.72,2016-2017,REG,82
Detroit Pistons,39.34,18.71,15.69,25.83,0.43,12.58,12.92,10.3,10.81,14.43,14.72,2016-2017,REG,82
Golden State Warriors,37.93,13.27,12.93,35.4,0.48,13.68,12.77,11.12,10.19,16.18,14.76,2016-2017,REG,82
Houston Rockets,42.46,6.31,5.05,45.93,0.24,13.96,12.94,10.93,10.05,16.58,15.44,2016-2017,REG,82
Indiana Pacers,39.27,14.15,19.51,26.74,0.32,12.98,13.67,11.06,11.37,14.64,15.55,2016-2017,REG,82
Los Angeles Clippers,37.62,10.02,19.75,32.33,0.28,13.78,13.17,11.51,10.66,15.84,15.23,2016-2017,REG,82
Los Angeles Lakers,44.76,14.24,11.78,28.96,0.25,12.06,12.77,9.75,10.27,13.96,15.1,2016-2017,REG,82
Memphis Grizzlies,41.96,12.01,14.42,31.09,0.51,13,13.58,10.88,11.18,14.64,15.5,2016-2017,REG,82
Miami Heat,41.45,14.04,13.13,31.14,0.24,12.57,12.04,10.39,9.99,14.4,13.72,2016-2017,REG,82
Milwaukee Bucks,49.44,10.92,10.8,28.64,0.19,11.37,12.67,8.98,10.12,13.53,14.83,2016-2017,REG,82
Minnesota Timberwolves,43.59,12.96,18.57,24.69,0.19,11.97,12.6,9.66,10.05,14.01,14.91,2016-2017,REG,82
New Orleans Pelicans,41.38,12.91,14.96,30.57,0.18,12.88,13.18,10.56,10.74,14.78,15.17,2016-2017,REG,82
New York Knicks,38.96,16.03,17.16,27.53,0.32,12.75,12.35,10.82,9.97,14.3,14.33,2016-2017,REG,82
Oklahoma City Thunder,46.34,13.27,10.85,29.27,0.27,11.65,11.77,9.05,9.52,13.79,13.67,2016-2017,REG,82
Orlando Magic,38.67,15.64,15.72,29.61,0.36,13.06,12.56,10.66,10.27,14.94,14.56,2016-2017,REG,82
Philadelphia 76ers,43.26,11.97,9.98,34.7,0.1,12.75,12.34,10.06,10.08,14.89,14.26,2016-2017,REG,82
Phoenix Suns,41.88,16.07,16.53,25.21,0.3,12.07,12.74,9.62,10.7,14.08,14.53,2016-2017,REG,82
Portland Trailblazers,40.65,12.38,14.79,31.93,0.24,12.96,12.7,11.07,10.93,14.56,14.18,2016-2017,REG,82
Sacramento Kings,41.88,13.56,15.53,28.75,0.28,12.62,13.77,10.6,11.29,14.34,15.91,2016-2017,REG,82
San Antonio Spurs,37.02,15.93,19,27.86,0.19,13,12.36,11.23,10.41,14.56,13.91,2016-2017,REG,82
Toronto Raptors,40.37,15.55,15.26,28.64,0.19,12.72,12.97,10.72,10.65,14.46,14.87,2016-2017,REG,82
Utah Jazz,40.96,14.55,11.81,32.45,0.23,12.64,12.37,10.35,10.5,14.64,13.87,2016-2017,REG,82
Washington Wizards,40.17,14.56,16.9,28.18,0.18,12.63,12.99,10.65,10.69,14.42,15.01,2016-2017,REG,82
Atlanta Hawks,41.75,10.71,13.84,33.45,0.25,12.76,12.58,10.47,10.41,14.69,14.22,2015-2016,REG,82
Brooklyn Nets,43.68,16.32,18.1,21.68,0.23,11.66,12.34,9.79,10.03,13.21,14.47,2015-2016,REG,82
Boston Celtics,42.73,12.51,15.55,29,0.21,12.43,12.38,10.01,10.1,14.33,14.17,2015-2016,REG,82
Charlotte Hornets,36.4,13.29,15.52,34.64,0.14,13.73,13.05,11.68,10.97,15.33,14.71,2015-2016,REG,82
Chicago Bulls,41.5,15.43,18.51,24.11,0.45,12.32,12.23,10.71,10.18,13.58,13.85,2015-2016,REG,82
Cleveland Cavaliers,39.39,12.83,12.52,35.09,0.17,13.33,12.46,11.03,10.22,15.3,14.28,2015-2016,REG,82
Dallas Mavericks,35.79,14.47,15.87,33.6,0.28,13.71,13.07,11.4,10.77,15.55,14.96,2015-2016,REG,82
Denver Nuggets,47.41,10.53,14.18,27.6,0.29,11.81,12.62,9.65,10.53,13.53,14.41,2015-2016,REG,82
Detroit Pistons,44.16,13.92,11.66,29.76,0.51,12.33,11.95,10.09,9.85,14.09,13.74,2015-2016,REG,82
Golden State Warriors,39.59,12.24,11.94,35.9,0.34,13.48,12.42,11.63,10.16,15.24,14.15,2015-2016,REG,82
Houston Rockets,45.78,9.03,8.17,36.6,0.41,12.55,12.66,9.9,10.32,14.74,14.63,2015-2016,REG,82
Indiana Pacers,37.32,13.85,21.88,26.66,0.3,13.15,12.76,10.75,10.45,15.11,14.58,2015-2016,REG,82
Los Angeles Clippers,34.76,11.58,21.62,31.75,0.29,14.15,12.58,11.82,10.34,16.17,14.3,2015-2016,REG,82
Los Angeles Lakers,37.85,16.41,16.9,28.49,0.35,13.06,12.19,10.71,9.62,14.71,14.51,2015-2016,REG,82
Memphis Grizzlies,46.54,14.03,17.28,21.81,0.34,11.35,13.34,9.45,11.16,12.84,15.17,2015-2016,REG,82
Miami Heat,43.43,16.23,18.36,21.69,0.28,11.58,12.22,9.23,10.26,13.66,13.77,2015-2016,REG,82
Milwaukee Bucks,52.29,13.75,15.17,18.57,0.22,10.1,12.37,7.96,9.97,11.97,14.38,2015-2016,REG,82
Minnesota Timberwolves,42.66,13.23,23.9,20.06,0.15,11.88,12.42,9.55,9.94,13.91,14.61,2015-2016,REG,82
New Orleans Pelicans,41.01,13.76,17.54,27.48,0.21,12.52,12.92,10.67,10.65,14.03,14.92,2015-2016,REG,82
New York Knicks,36.61,17.61,20.26,25.32,0.2,12.99,12,11.21,9.95,14.38,13.63,2015-2016,REG,82
Oklahoma City Thunder,42.72,15.02,14.72,27.41,0.14,11.95,11.79,9.7,9.64,13.99,13.47,2015-2016,REG,82
Orlando Magic,40.92,13.01,20.6,25.14,0.34,12.52,12.51,10.38,10.31,14.3,14.39,2015-2016,REG,82
Philadelphia 76ers,44.42,12.85,9.98,32.52,0.23,12.42,11.96,9.9,9.92,14.33,13.73,2015-2016,REG,82
Phoenix Suns,41.74,12.58,15.53,29.94,0.21,12.61,12.58,10.37,10.47,14.33,14.43,2015-2016,REG,82
Portland Trailblazers,39.08,12.02,15.66,33.04,0.2,13.33,12.63,11.5,10.97,14.83,14.01,2015-2016,REG,82
Sacramento Kings,48.15,10.36,15.52,25.71,0.25,11.68,13.27,9.49,11.09,13.58,15.15,2015-2016,REG,82
San Antonio Spurs,38.78,18.74,20.19,22.06,0.22,12.19,12.17,10.25,10.13,14.02,13.75,2015-2016,REG,82
Toronto Raptors,42.74,14.72,13.9,28.37,0.27,12.38,12.58,10.4,10.88,14,13.94,2015-2016,REG,82
Utah Jazz,41.32,16.34,12.73,29.27,0.35,12.32,12.33,10.18,10.39,14.06,13.89,2015-2016,REG,82
Washington Wizards,38.48,14.4,18.96,27.91,0.26,12.97,13.03,10.64,10.93,14.96,14.83,2015-2016,REG,82
Atlanta Hawks,41.85,10.93,15.09,32.08,0.04,12.75,13.04,10.85,10.75,14.41,14.84,2014-2015,REG,82
Brooklyn Nets,42.64,17.05,16.31,23.63,0.37,11.92,12.43,9.76,10.13,13.69,14.36,2014-2015,REG,82
Boston Celtics,39.64,13.03,19.33,27.79,0.22,12.84,12.19,10.56,9.82,14.66,14.14,2014-2015,REG,82
Charlotte Hornets,37.61,16.42,23.38,22.33,0.26,12.75,12.8,10.8,11.05,14.16,14.18,2014-2015,REG,82
Chicago Bulls,43.71,13.09,16.33,26.51,0.35,12.18,12.3,10.23,10.51,13.72,13.68,2014-2015,REG,82
Cleveland Cavaliers,41.88,12.35,12.33,33.3,0.15,12.77,12.28,10.55,10,14.66,14.18,2014-2015,REG,82
Dallas Mavericks,40.05,12.17,18.18,29.46,0.14,12.81,12.7,10.47,10.56,14.81,14.46,2014-2015,REG,82
Denver Nuggets,44.48,11.99,15.13,28.09,0.31,12.26,12.35,9.85,10.19,14.11,14.18,2014-2015,REG,82
Detroit Pistons,48.49,9.67,12.81,28.7,0.33,11.77,12.03,9.61,9.94,13.41,13.78,2014-2015,REG,82
Golden State Warriors,39.38,14.17,15.41,30.69,0.35,13.08,12.52,10.94,10.37,15.03,14.13,2014-2015,REG,82
Houston Rockets,46.31,7.65,6.73,39.06,0.25,12.71,12.25,10.03,9.73,14.85,14.26,2014-2015,REG,82
Indiana Pacers,37.81,14.46,22.23,25.22,0.28,13,12.61,11.21,10.68,14.4,14.1,2014-2015,REG,82
Los Angeles Clippers,33.97,11.91,21.91,32.03,0.18,14.14,12.98,12,10.84,16.06,14.68,2014-2015,REG,82
Los Angeles Lakers,38.58,16.1,23.3,21.89,0.13,12.54,12.14,10.34,9.83,14.23,14.16,2014-2015,REG,82
Memphis Grizzlies,46.43,17.3,17.92,18.02,0.33,10.95,12.82,8.91,10.6,12.68,14.58,2014-2015,REG,82
Miami Heat,40.09,15.34,18.37,25.89,0.3,12.38,12.48,9.95,10.18,14.41,14.4,2014-2015,REG,82
Milwaukee Bucks,44.86,13.63,19.21,22.2,0.1,11.4,12.21,9.49,9.95,13.02,13.96,2014-2015,REG,82
Minnesota Timberwolves,43.05,15.53,23.5,17.73,0.19,11.6,12.22,9.5,9.66,13.23,14.64,2014-2015,REG,82
New Orleans Pelicans,46.64,13.1,16.93,23.06,0.27,11.42,11.46,9.6,9.15,12.96,13.4,2014-2015,REG,82
New York Knicks,35.82,15.54,24.65,23.73,0.27,13.27,12.2,11.61,10.33,14.51,13.79,2014-2015,REG,82
Oklahoma City Thunder,43.3,14.14,16.42,25.98,0.16,11.93,12.1,9.73,9.96,13.71,13.78,2014-2015,REG,82
Orlando Magic,45.47,13.8,17.14,23.37,0.22,11.56,12.75,9.53,10.56,13.24,14.64,2014-2015,REG,82
Philadelphia 76ers,47.15,9.25,11.75,31.59,0.27,12.22,12.14,9.64,10.04,14,13.84,2014-2015,REG,82
Phoenix Suns,39.64,16.01,15.26,28.77,0.33,12.61,11.88,10.17,9.65,14.61,13.71,2014-2015,REG,82
Portland Trailblazers,35.47,13.95,18.96,31.41,0.21,13.74,11.97,11.47,10.04,15.59,13.49,2014-2015,REG,82
Sacramento Kings,48.18,13.14,18.19,20.28,0.22,11.05,12.91,9.03,10.51,12.75,14.93,2014-2015,REG,82
San Antonio Spurs,43.01,15.28,14.78,26.78,0.15,12.05,11.67,10,9.83,13.86,13.14,2014-2015,REG,82
Toronto Raptors,41.43,13.82,14.52,30.05,0.18,12.77,12.2,10.45,10.02,14.71,14.05,2014-2015,REG,82
Utah Jazz,43.59,12.93,16.01,27.17,0.29,12.19,12.34,9.64,10.46,14.25,13.85,2014-2015,REG,82
Washington Wizards,39.57,17.11,22.96,20.16,0.19,12.11,13.01,9.94,11.01,13.97,14.55,2014-2015,REG,82
Atlanta Hawks,39.91,13.98,14.48,31.43,0.19,12.91,12.48,10.83,10.44,14.67,14.22,2013-2014,REG,82
Brooklyn Nets,38.48,15.45,16.01,29.69,0.38,13.09,12.47,11.1,10.43,14.78,14.2,2013-2014,REG,82
Boston Celtics,39.44,13.56,21.89,24.89,0.22,12.77,11.66,10.76,9.44,14.32,13.58,2013-2014,REG,82
Charlotte Hornets,40.81,15.55,21.82,21.55,0.27,12.15,12.59,9.99,10.85,13.87,13.98,2013-2014,REG,82
Chicago Bulls,42.04,13.61,22.17,21.83,0.35,12.18,12.6,10.37,10.68,13.57,14.05,2013-2014,REG,82
Cleveland Cavaliers,40.65,16.09,19.69,23.22,0.35,12.3,13.21,10.57,11.03,13.64,15.01,2013-2014,REG,82
Dallas Mavericks,38.08,17.25,17.3,27.13,0.25,12.77,12.36,10.87,10.04,14.49,14.37,2013-2014,REG,82
Denver Nuggets,46.46,10.71,15,27.51,0.33,12.02,11.92,9.77,9.87,13.83,13.65,2013-2014,REG,82
Detroit Pistons,52.27,9.84,15.72,21.83,0.34,10.66,12.1,7.95,9.94,12.84,14.02,2013-2014,REG,82
Golden State Warriors,40.06,13.99,16.87,28.78,0.3,12.93,12.59,10.94,10.59,14.64,14.13,2013-2014,REG,82
Houston Rockets,52.38,8.06,6.59,32.8,0.17,11.46,12.41,8.9,10.26,13.75,14.12,2013-2014,REG,82
Indiana Pacers,39.71,16.36,20.48,23.17,0.27,12.49,12.53,10.73,10.98,13.93,13.66,2013-2014,REG,82
Los Angeles Clippers,37.79,12.38,20.83,28.83,0.18,13.31,12.13,10.78,9.68,15.61,14.06,2013-2014,REG,82
Los Angeles Lakers,39.17,14.88,16.89,28.96,0.09,13.03,11.96,11.15,9.74,14.58,13.92,2013-2014,REG,82
Memphis Grizzlies,48.24,15.6,19.1,16.78,0.28,10.78,12.67,8.9,10.67,12.41,14.31,2013-2014,REG,82
Miami Heat,42.53,11.53,16.76,29.05,0.13,12.28,12.46,9.59,10.18,14.98,14.39,2013-2014,REG,82
Milwaukee Bucks,44.96,13.82,18.17,22.94,0.1,11.62,12.07,9.82,10.15,13.03,13.77,2013-2014,REG,82
